en
S,en,Ukraine,ru,Р Р€Р С”РЎР‚Р В°Р С‘Р Р…Р В°,ru,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р В°
T,en,Privorittja,ru,Р СџРЎР‚Р С‘Р Р†Р С•РЎР‚iРЎвЂљРЎвЂљРЎРЏ,ua,Р СџРЎР‚Р С‘Р Р†Р С•РЎР‚iРЎвЂљРЎвЂљРЎРЏ
T,en,Romanivka,ru,Р В Р С•Р С?Р В°Р Р…iР Р†Р С”Р В°,ua,Р В Р С•Р С?Р В°Р Р…iР Р†Р С”Р В°
T,en,Skochische,ru,Р РЋР С”Р С•РЎвЂЎР С‘РЎвЂ°Р Вµ,ua,Р РЋР С”Р С•РЎвЂЎР С‘РЎвЂ°Р Вµ
T,en,Skochische stantsija,ru,Р РЋР С”Р С•РЎвЂЎР С‘РЎвЂ°Р Вµ Р РЋРЎвЂљР В°Р Р…РЎвЂ iРЎРЏ,ua,Р РЋР С”Р С•РЎвЂЎР С‘РЎвЂ°Р Вµ Р РЋРЎвЂљР В°Р Р…РЎвЂ iРЎРЏ
T,en,Sobolivka,ru,Р РЋР С•Р В±Р С•Р В»iР Р†Р С”Р В°,ua,Р РЋР С•Р В±Р С•Р В»iР Р†Р С”Р В°
T,en,Soloviyivka,ru,Р РЋР С•Р В»Р С•Р Р†iРЎвЂ”Р Р†Р С”Р В°,ua,Р РЋР С•Р В»Р С•Р Р†iРЎвЂ”Р Р†Р С”Р В°
T,en,Stavische,ru,Р РЋРЎвЂљР В°Р Р†Р С‘РЎвЂ°Р Вµ,ua,Р РЋРЎвЂљР В°Р Р†Р С‘РЎвЂ°Р Вµ
T,en,Homutets',ru,Р ТђР С•Р С?РЎС“РЎвЂљР ВµРЎвЂ РЎРЉ,ua,Р ТђР С•Р С?РЎС“РЎвЂљР ВµРЎвЂ РЎРЉ
T,en,JAstruben'ka,ru,Р Р‡РЎРѓРЎвЂљРЎР‚РЎС“Р В±Р ВµР Р…РЎРЉР С”Р В°,ua,Р Р‡РЎРѓРЎвЂљРЎР‚РЎС“Р В±Р ВµР Р…РЎРЉР С”Р В°
T,en,Volodars'k-volins'kij,ru,Р вЂ™Р С•Р В»Р С•Р Т‘Р В°РЎР‚РЎРѓРЎРЉР С”-Р вЂ™Р С•Р В»Р С‘Р Р…РЎРѓРЎРЉР С”Р С‘Р в„–,ua,Р вЂ™Р С•Р В»Р С•Р Т‘Р В°РЎР‚РЎРѓРЎРЉР С”-Р вЂ™Р С•Р В»Р С‘Р Р…РЎРѓРЎРЉР С”Р С‘Р в„–
T,en,Grushki,ru,Р вЂњРЎР‚РЎС“РЎв‚¬Р С”Р С‘,ua,Р вЂњРЎР‚РЎС“РЎв‚¬Р С”Р С‘
T,en,Davidivka,ru,Р вЂќР В°Р Р†Р С‘Р Т‘iР Р†Р С”Р В°,ua,Р вЂќР В°Р Р†Р С‘Р Т‘iР Р†Р С”Р В°
T,en,Dashinka,ru,Р вЂќР В°РЎв‚¬Р С‘Р Р…Р С”Р В°,ua,Р вЂќР В°РЎв‚¬Р С‘Р Р…Р С”Р В°
T,en,Dvorische,ru,Р вЂќР Р†Р С•РЎР‚Р С‘РЎвЂ°Р Вµ,ua,Р вЂќР Р†Р С•РЎР‚Р С‘РЎвЂ°Р Вµ
T,en,Dobrin',ru,Р вЂќР С•Р В±РЎР‚Р С‘Р Р…РЎРЉ,ua,Р вЂќР С•Р В±РЎР‚Р С‘Р Р…РЎРЉ
T,en,Zhovtnivka,ru,Р вЂ“Р С•Р Р†РЎвЂљР Р…iР Р†Р С”Р В°,ua,Р вЂ“Р С•Р Р†РЎвЂљР Р…iР Р†Р С”Р В°
T,en,Zubrinka,ru,Р вЂ”РЎС“Р В±РЎР‚Р С‘Р Р…Р С”Р В°,ua,Р вЂ”РЎС“Р В±РЎР‚Р С‘Р Р…Р С”Р В°
T,en,Irshans'k,ru,IРЎР‚РЎв‚¬Р В°Р Р…РЎРѓРЎРЉР С”,ua,IРЎР‚РЎв‚¬Р В°Р Р…РЎРѓРЎРЉР С”
T,en,Kalinivka,ru,Р С™Р В°Р В»Р С‘Р Р…iР Р†Р С”Р В°,ua,Р С™Р В°Р В»Р С‘Р Р…iР Р†Р С”Р В°
T,en,Krayivschina,ru,Р С™РЎР‚Р В°РЎвЂ”Р Р†РЎвЂ°Р С‘Р Р…Р В°,ua,Р С™РЎР‚Р В°РЎвЂ”Р Р†РЎвЂ°Р С‘Р Р…Р В°
T,en,Kropivnja,ru,Р С™РЎР‚Р С•Р С—Р С‘Р Р†Р Р…РЎРЏ,ua,Р С™РЎР‚Р С•Р С—Р С‘Р Р†Р Р…РЎРЏ
T,en,Nebizh,ru,Р СњР ВµР В±iР В¶,ua,Р СњР ВµР В±iР В¶
T,en,Nova borova,ru,Р СњР С•Р Р†Р В° Р вЂ?Р С•РЎР‚Р С•Р Р†Р В°,ua,Р СњР С•Р Р†Р В° Р вЂ?Р С•РЎР‚Р С•Р Р†Р В°
T,en,Poromivka,ru,Р СџР С•РЎР‚Р С•Р С?iР Р†Р С”Р В°,ua,Р СџР С•РЎР‚Р С•Р С?iР Р†Р С”Р В°
T,en,Radichi,ru,Р В Р В°Р Т‘Р С‘РЎвЂЎi,ua,Р В Р В°Р Т‘Р С‘РЎвЂЎi
T,en,Rizhani,ru,Р В Р С‘Р В¶Р В°Р Р…Р С‘,ua,Р В Р С‘Р В¶Р В°Р Р…Р С‘
T,en,Skolobiv,ru,Р РЋР С”Р С•Р В»Р С•Р В±iР Р†,ua,Р РЋР С”Р С•Р В»Р С•Р В±iР Р†
T,en,Solodiri,ru,Р РЋР С•Р В»Р С•Р Т‘Р С‘РЎР‚i,ua,Р РЋР С•Р В»Р С•Р Т‘Р С‘РЎР‚i
T,en,Stavki,ru,Р РЋРЎвЂљР В°Р Р†Р С”Р С‘,ua,Р РЋРЎвЂљР В°Р Р†Р С”Р С‘
T,en,Suhovolja,ru,Р РЋРЎС“РЎвЂ¦Р С•Р Р†Р С•Р В»РЎРЏ,ua,Р РЋРЎС“РЎвЂ¦Р С•Р Р†Р С•Р В»РЎРЏ
T,en,Toporische,ru,Р СћР С•Р С—Р С•РЎР‚Р С‘РЎвЂ°Р Вµ,ua,Р СћР С•Р С—Р С•РЎР‚Р С‘РЎвЂ°Р Вµ
T,en,Fasova,ru,Р В¤Р В°РЎРѓР С•Р Р†Р В°,ua,Р В¤Р В°РЎРѓР С•Р Р†Р В°
T,en,CHervonogranitne,ru,Р В§Р ВµРЎР‚Р Р†Р С•Р Р…Р С•Р С–РЎР‚Р В°Р Р…iРЎвЂљР Р…Р Вµ,ua,Р В§Р ВµРЎР‚Р Р†Р С•Р Р…Р С•Р С–РЎР‚Р В°Р Р…iРЎвЂљР Р…Р Вµ
T,en,JAgodinka,ru,Р Р‡Р С–Р С•Р Т‘Р С‘Р Р…Р С”Р В°,ua,Р Р‡Р С–Р С•Р Т‘Р С‘Р Р…Р С”Р В°
T,en,Bikivka,ru,Р вЂ?Р С‘Р С”iР Р†Р С”Р В°,ua,Р вЂ?Р С‘Р С”iР Р†Р С”Р В°
T,en,Buldichiv,ru,Р вЂ?РЎС“Р В»Р Т‘Р С‘РЎвЂЎiР Р†,ua,Р вЂ?РЎС“Р В»Р Т‘Р С‘РЎвЂЎiР Р†
T,en,Velika kozara,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р С™Р С•Р В·Р В°РЎР‚Р В°,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р С™Р С•Р В·Р В°РЎР‚Р В°
T,en,Vil'ha,ru,Р вЂ™iР В»РЎРЉРЎвЂ¦Р В°,ua,Р вЂ™iР В»РЎРЉРЎвЂ¦Р В°
T,en,Vrublivka,ru,Р вЂ™РЎР‚РЎС“Р В±Р В»iР Р†Р С”Р В°,ua,Р вЂ™РЎР‚РЎС“Р В±Р В»iР Р†Р С”Р В°
T,en,Godiha,ru,Р вЂњР С•Р Т‘Р С‘РЎвЂ¦Р В°,ua,Р вЂњР С•Р Т‘Р С‘РЎвЂ¦Р В°
T,en,Gordiyivka,ru,Р вЂњР С•РЎР‚Р Т‘iРЎвЂ”Р Р†Р С”Р В°,ua,Р вЂњР С•РЎР‚Р Т‘iРЎвЂ”Р Р†Р С”Р В°
T,en,Dertka,ru,Р вЂќР ВµРЎР‚РЎвЂљР С”Р В°,ua,Р вЂќР ВµРЎР‚РЎвЂљР С”Р В°
T,en,Dzerzhins'k,ru,Р вЂќР В·Р ВµРЎР‚Р В¶Р С‘Р Р…РЎРѓРЎРЉР С”,ua,Р вЂќР В·Р ВµРЎР‚Р В¶Р С‘Р Р…РЎРѓРЎРЉР С”
T,en,Kamin',ru,Р С™Р В°Р С?iР Р…РЎРЉ,ua,Р С™Р В°Р С?iР Р…РЎРЉ
T,en,Karvinivka,ru,Р С™Р В°РЎР‚Р Р†Р С‘Р Р…iР Р†Р С”Р В°,ua,Р С™Р В°РЎР‚Р Р†Р С‘Р Р…iР Р†Р С”Р В°
T,en,Kolodjazhne,ru,Р С™Р С•Р В»Р С•Р Т‘РЎРЏР В¶Р Р…Р Вµ,ua,Р С™Р С•Р В»Р С•Р Т‘РЎРЏР В¶Р Р…Р Вµ
T,en,Lisna rudnja,ru,Р вЂєiРЎРѓР Р…Р В° Р В РЎС“Р Т‘Р Р…РЎРЏ,ua,Р вЂєiРЎРѓР Р…Р В° Р В РЎС“Р Т‘Р Р…РЎРЏ
T,en,Mala kozara,ru,Р СљР В°Р В»Р В° Р С™Р С•Р В·Р В°РЎР‚Р В°,ua,Р СљР В°Р В»Р В° Р С™Р С•Р В·Р В°РЎР‚Р В°
T,en,Miropil',ru,Р СљР С‘РЎР‚Р С•Р С—iР В»РЎРЉ,ua,Р СљР С‘РЎР‚Р С•Р С—iР В»РЎРЉ
T,en,Nivna,ru,Р СњР С‘Р Р†Р Р…Р В°,ua,Р СњР С‘Р Р†Р Р…Р В°
T,en,Novoprutivka,ru,Р СњР С•Р Р†Р С•Р С—РЎР‚РЎС“РЎвЂљiР Р†Р С”Р В°,ua,Р СњР С•Р Р†Р С•Р С—РЎР‚РЎС“РЎвЂљiР Р†Р С”Р В°
T,en,Pavolochka,ru,Р СџР В°Р Р†Р С•Р В»Р С•РЎвЂЎР С”Р В°,ua,Р СџР В°Р Р†Р С•Р В»Р С•РЎвЂЎР С”Р В°
T,en,Pechanivka,ru,Р СџР ВµРЎвЂЎР В°Р Р…iР Р†Р С”Р В°,ua,Р СџР ВµРЎвЂЎР В°Р Р…iР Р†Р С”Р В°
T,en,Prutivka,ru,Р СџРЎР‚РЎС“РЎвЂљiР Р†Р С”Р В°,ua,Р СџРЎР‚РЎС“РЎвЂљiР Р†Р С”Р В°
T,en,Razine,ru,Р В Р В°Р В·iР Р…Р Вµ,ua,Р В Р В°Р В·iР Р…Р Вµ
T,en,Stanislavivka,ru,Р РЋРЎвЂљР В°Р Р…iРЎРѓР В»Р В°Р Р†iР Р†Р С”Р В°,ua,Р РЋРЎвЂљР В°Р Р…iРЎРѓР В»Р В°Р Р†iР Р†Р С”Р В°
T,en,Starochudnivs'ka guta,ru,Р РЋРЎвЂљР В°РЎР‚Р С•РЎвЂЎРЎС“Р Т‘Р Р…iР Р†РЎРѓРЎРЉР С”Р В° Р вЂњРЎС“РЎвЂљР В°,ua,Р РЋРЎвЂљР В°РЎР‚Р С•РЎвЂЎРЎС“Р Т‘Р Р…iР Р†РЎРѓРЎРЉР С”Р В° Р вЂњРЎС“РЎвЂљР В°
T,en,CHervoni hatki,ru,Р В§Р ВµРЎР‚Р Р†Р С•Р Р…i Р ТђР В°РЎвЂљР С”Р С‘,ua,Р В§Р ВµРЎР‚Р Р†Р С•Р Р…i Р ТђР В°РЎвЂљР С”Р С‘
T,en,JAsnogorod,ru,Р Р‡РЎРѓР Р…Р С•Р С–Р С•РЎР‚Р С•Р Т‘,ua,Р Р‡РЎРѓР Р…Р С•Р С–Р С•РЎР‚Р С•Р Т‘
T,en,Andrievichi,ru,Р С’Р Р…Р Т‘РЎР‚iРЎвЂќР Р†Р С‘РЎвЂЎi,ua,Р С’Р Р…Р Т‘РЎР‚iРЎвЂќР Р†Р С‘РЎвЂЎi
T,en,Barashi,ru,Р вЂ?Р В°РЎР‚Р В°РЎв‚¬i,ua,Р вЂ?Р В°РЎР‚Р В°РЎв‚¬i
T,en,Berezivka,ru,Р вЂ?Р ВµРЎР‚Р ВµР В·iР Р†Р С”Р В°,ua,Р вЂ?Р ВµРЎР‚Р ВµР В·iР Р†Р С”Р В°
T,en,Berezniki,ru,Р вЂ?Р ВµРЎР‚Р ВµР В·Р Р…Р С‘Р С”Р С‘,ua,Р вЂ?Р ВµРЎР‚Р ВµР В·Р Р…Р С‘Р С”Р С‘
T,en,Bobritsja,ru,Р вЂ?Р С•Р В±РЎР‚Р С‘РЎвЂ РЎРЏ,ua,Р вЂ?Р С•Р В±РЎР‚Р С‘РЎвЂ РЎРЏ
T,en,Boljarka,ru,Р вЂ?Р С•Р В»РЎРЏРЎР‚Р С”Р В°,ua,Р вЂ?Р С•Р В»РЎРЏРЎР‚Р С”Р В°
T,en,Budo-bobritsja,ru,Р вЂ?РЎС“Р Т‘Р С•-Р вЂ?Р С•Р В±РЎР‚Р С‘РЎвЂ РЎРЏ,ua,Р вЂ?РЎС“Р Т‘Р С•-Р вЂ?Р С•Р В±РЎР‚Р С‘РЎвЂ РЎРЏ
T,en,Varvarivka,ru,Р вЂ™Р В°РЎР‚Р Р†Р В°РЎР‚iР Р†Р С”Р В°,ua,Р вЂ™Р В°РЎР‚Р Р†Р В°РЎР‚iР Р†Р С”Р В°
T,en,Velika glumcha,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р вЂњР В»РЎС“Р С?РЎвЂЎР В°,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р вЂњР В»РЎС“Р С?РЎвЂЎР В°
T,en,Velika tsvilja,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р В¦Р Р†iР В»РЎРЏ,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р В¦Р Р†iР В»РЎРЏ
T,en,Velikij JAblunets',ru,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р Р‡Р В±Р В»РЎС“Р Р…Р ВµРЎвЂ РЎРЉ,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р Р‡Р В±Р В»РЎС“Р Р…Р ВµРЎвЂ РЎРЉ
T,en,Virivka,ru,Р вЂ™iРЎР‚iР Р†Р С”Р В°,ua,Р вЂ™iРЎР‚iР Р†Р С”Р В°
T,en,Gannopil',ru,Р вЂњР В°Р Р…Р Р…Р С•Р С—iР В»РЎРЉ,ua,Р вЂњР В°Р Р…Р Р…Р С•Р С—iР В»РЎРЉ
T,en,Emil'chine,ru,Р вЂћР С?iР В»РЎРЉРЎвЂЎР С‘Р Р…Р Вµ,ua,Р вЂћР С?iР В»РЎРЉРЎвЂЎР С‘Р Р…Р Вµ
T,en,Zelenitsja,ru,Р вЂ”Р ВµР В»Р ВµР Р…Р С‘РЎвЂ РЎРЏ,ua,Р вЂ”Р ВµР В»Р ВµР Р…Р С‘РЎвЂ РЎРЏ
T,en,Kijanka,ru,Р С™Р С‘РЎРЏР Р…Р С”Р В°,ua,Р С™Р С‘РЎРЏР Р…Р С”Р В°
T,en,Kochichine,ru,Р С™Р С•РЎвЂЎР С‘РЎвЂЎР С‘Р Р…Р Вµ,ua,Р С™Р С•РЎвЂЎР С‘РЎвЂЎР С‘Р Р…Р Вµ
T,en,Krivotin,ru,Р С™РЎР‚Р С‘Р Р†Р С•РЎвЂљР С‘Р Р…,ua,Р С™РЎР‚Р С‘Р Р†Р С•РЎвЂљР С‘Р Р…
T,en,Kulishi,ru,Р С™РЎС“Р В»iРЎв‚¬i,ua,Р С™РЎС“Р В»iРЎв‚¬i
T,en,Mala glumcha,ru,Р СљР В°Р В»Р В° Р вЂњР В»РЎС“Р С?РЎвЂЎР В°,ua,Р СљР В°Р В»Р В° Р вЂњР В»РЎС“Р С?РЎвЂЎР В°
T,en,Medvedeve,ru,Р СљР ВµР Т‘Р Р†Р ВµР Т‘Р ВµР Р†Р Вµ,ua,Р СљР ВµР Т‘Р Р†Р ВµР Т‘Р ВµР Р†Р Вµ
T,en,Mikolayivka,ru,Р СљР С‘Р С”Р С•Р В»Р В°РЎвЂ”Р Р†Р С”Р В°,ua,Р СљР С‘Р С”Р С•Р В»Р В°РЎвЂ”Р Р†Р С”Р В°
T,en,Mokljaki,ru,Р СљР С•Р С”Р В»РЎРЏР С”Р С‘,ua,Р СљР С•Р С”Р В»РЎРЏР С”Р С‘
T,en,Nedilische,ru,Р СњР ВµР Т‘iР В»Р С‘РЎвЂ°Р Вµ,ua,Р СњР ВµР Т‘iР В»Р С‘РЎвЂ°Р Вµ
T,en,Osivka,ru,Р С›РЎРѓiР Р†Р С”Р В°,ua,Р С›РЎРѓiР Р†Р С”Р В°
T,en,Paranine,ru,Р СџР В°РЎР‚Р В°Р Р…Р С‘Р Р…Р Вµ,ua,Р СџР В°РЎР‚Р В°Р Р…Р С‘Р Р…Р Вµ
T,en,Pidlubi,ru,Р СџiР Т‘Р В»РЎС“Р В±Р С‘,ua,Р СџiР Т‘Р В»РЎС“Р В±Р С‘
T,en,Rihal's'ke,ru,Р В Р С‘РЎвЂ¦Р В°Р В»РЎРЉРЎРѓРЎРЉР С”Р Вµ,ua,Р В Р С‘РЎвЂ¦Р В°Р В»РЎРЉРЎРѓРЎРЉР С”Р Вµ
T,en,Rudnja-ivanivs'ka,ru,Р В РЎС“Р Т‘Р Р…РЎРЏ-IР Р†Р В°Р Р…iР Р†РЎРѓРЎРЉР С”Р В°,ua,Р В РЎС“Р Т‘Р Р…РЎРЏ-IР Р†Р В°Р Р…iР Р†РЎРѓРЎРЉР С”Р В°
T,en,Rjasne,ru,Р В РЎРЏРЎРѓР Р…Р Вµ,ua,Р В РЎРЏРЎРѓР Р…Р Вµ
T,en,Serbi,ru,Р РЋР ВµРЎР‚Р В±Р С‘,ua,Р РЋР ВµРЎР‚Р В±Р С‘
T,en,Serbo-slobidka,ru,Р РЋР ВµРЎР‚Р В±Р С•-Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°,ua,Р РЋР ВµРЎР‚Р В±Р С•-Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°
T,en,Sergiyivka,ru,Р РЋР ВµРЎР‚Р С–iРЎвЂ”Р Р†Р С”Р В°,ua,Р РЋР ВµРЎР‚Р С–iРЎвЂ”Р Р†Р С”Р В°
T,en,Seredi,ru,Р РЋР ВµРЎР‚Р ВµР Т‘Р С‘,ua,Р РЋР ВµРЎР‚Р ВµР Т‘Р С‘
T,en,Simoni,ru,Р РЋР С‘Р С?Р С•Р Р…Р С‘,ua,Р РЋР С‘Р С?Р С•Р Р…Р С‘
T,en,Simakivka,ru,Р РЋiР С?Р В°Р С”iР Р†Р С”Р В°,ua,Р РЋiР С?Р В°Р С”iР Р†Р С”Р В°
T,en,Sorochen',ru,Р РЋР С•РЎР‚Р С•РЎвЂЎР ВµР Р…РЎРЉ,ua,Р РЋР С•РЎР‚Р С•РЎвЂЎР ВµР Р…РЎРЉ
T,en,Stepanivka,ru,Р РЋРЎвЂљР ВµР С—Р В°Р Р…iР Р†Р С”Р В°,ua,Р РЋРЎвЂљР ВµР С—Р В°Р Р…iР Р†Р С”Р В°
T,en,Tajki,ru,Р СћР В°Р в„–Р С”Р С‘,ua,Р СћР В°Р в„–Р С”Р С‘
T,en,Usolusi,ru,Р Р€РЎРѓР С•Р В»РЎС“РЎРѓР С‘,ua,Р Р€РЎРѓР С•Р В»РЎС“РЎРѓР С‘
T,en,CHmil',ru,Р В§Р С?iР В»РЎРЉ,ua,Р В§Р С?iР В»РЎРЉ
T,en,JAblunets',ru,Р Р‡Р В±Р В»РЎС“Р Р…Р ВµРЎвЂ РЎРЉ,ua,Р Р‡Р В±Р В»РЎС“Р Р…Р ВµРЎвЂ РЎРЉ
T,en,Zhitomir,ru,Р вЂ“Р С‘РЎвЂљР С•Р С?Р С‘РЎР‚,ua,Р вЂ“Р С‘РЎвЂљР С•Р С?Р С‘РЎР‚
T,en,Barashivka,ru,Р вЂ?Р В°РЎР‚Р В°РЎв‚¬iР Р†Р С”Р В°,ua,Р вЂ?Р В°РЎР‚Р В°РЎв‚¬iР Р†Р С”Р В°
T,en,Buki,ru,Р вЂ?РЎС“Р С”Р С‘,ua,Р вЂ?РЎС“Р С”Р С‘
T,en,Vasilivka,ru,Р вЂ™Р В°РЎРѓР С‘Р В»iР Р†Р С”Р В°,ua,Р вЂ™Р В°РЎРѓР С‘Р В»iР Р†Р С”Р В°
T,en,Veresi,ru,Р вЂ™Р ВµРЎР‚Р ВµРЎРѓР С‘,ua,Р вЂ™Р ВµРЎР‚Р ВµРЎРѓР С‘
T,en,Vertokiyivka,ru,Р вЂ™Р ВµРЎР‚РЎвЂљР С•Р С”Р С‘РЎвЂ”Р Р†Р С”Р В°,ua,Р вЂ™Р ВµРЎР‚РЎвЂљР С•Р С”Р С‘РЎвЂ”Р Р†Р С”Р В°
T,en,Visoka pich,ru,Р вЂ™Р С‘РЎРѓР С•Р С”Р В° Р СџiРЎвЂЎ,ua,Р вЂ™Р С‘РЎРѓР С•Р С”Р В° Р СџiРЎвЂЎ
T,en,Gadzinka,ru,Р вЂњР В°Р Т‘Р В·Р С‘Р Р…Р С”Р В°,ua,Р вЂњР В°Р Т‘Р В·Р С‘Р Р…Р С”Р В°
T,en,Glibochitsja,ru,Р вЂњР В»Р С‘Р В±Р С•РЎвЂЎР С‘РЎвЂ РЎРЏ,ua,Р вЂњР В»Р С‘Р В±Р С•РЎвЂЎР С‘РЎвЂ РЎРЏ
T,en,Golovenka,ru,Р вЂњР С•Р В»Р С•Р Р†Р ВµР Р…Р С”Р В°,ua,Р вЂњР С•Р В»Р С•Р Р†Р ВµР Р…Р С”Р В°
T,en,Gujva,ru,Р вЂњРЎС“Р в„–Р Р†Р В°,ua,Р вЂњРЎС“Р в„–Р Р†Р В°
T,en,Dvirets',ru,Р вЂќР Р†iРЎР‚Р ВµРЎвЂ РЎРЉ,ua,Р вЂќР Р†iРЎР‚Р ВµРЎвЂ РЎРЉ
T,en,Denishi,ru,Р вЂќР ВµР Р…Р С‘РЎв‚¬i,ua,Р вЂќР ВµР Р…Р С‘РЎв‚¬i
T,en,Zarichani,ru,Р вЂ”Р В°РЎР‚iРЎвЂЎР В°Р Р…Р С‘,ua,Р вЂ”Р В°РЎР‚iРЎвЂЎР В°Р Р…Р С‘
T,en,Ivanivka,ru,IР Р†Р В°Р Р…iР Р†Р С”Р В°,ua,IР Р†Р В°Р Р…iР Р†Р С”Р В°
T,en,Ivanivtsi,ru,IР Р†Р В°Р Р…iР Р†РЎвЂ i,ua,IР Р†Р В°Р Р…iР Р†РЎвЂ i
T,en,Kam'JAnka,ru,Р С™Р В°Р С?'Р Р‡Р Р…Р С”Р В°,ua,Р С™Р В°Р С?'Р Р‡Р Р…Р С”Р В°
T,en,Kodnja,ru,Р С™Р С•Р Т‘Р Р…РЎРЏ,ua,Р С™Р С•Р Т‘Р Р…РЎРЏ
T,en,Korchak,ru,Р С™Р С•РЎР‚РЎвЂЎР В°Р С”,ua,Р С™Р С•РЎР‚РЎвЂЎР В°Р С”
T,en,Levkiv,ru,Р вЂєР ВµР Р†Р С”iР Р†,ua,Р вЂєР ВµР Р†Р С”iР Р†
T,en,Lischin,ru,Р вЂєiРЎвЂ°Р С‘Р Р…,ua,Р вЂєiРЎвЂ°Р С‘Р Р…
T,en,Luka,ru,Р вЂєРЎС“Р С”Р В°,ua,Р вЂєРЎС“Р С”Р В°
T,en,Miroljubivka,ru,Р СљР С‘РЎР‚Р С•Р В»РЎР‹Р В±iР Р†Р С”Р В°,ua,Р СљР С‘РЎР‚Р С•Р В»РЎР‹Р В±iР Р†Р С”Р В°
T,en,Mlinische,ru,Р СљР В»Р С‘Р Р…Р С‘РЎвЂ°Р Вµ,ua,Р СљР В»Р С‘Р Р…Р С‘РЎвЂ°Р Вµ
T,en,Novogujvins'ke,ru,Р СњР С•Р Р†Р С•Р С–РЎС“Р в„–Р Р†Р С‘Р Р…РЎРѓРЎРЉР С”Р Вµ,ua,Р СњР С•Р Р†Р С•Р С–РЎС“Р в„–Р Р†Р С‘Р Р…РЎРѓРЎРЉР С”Р Вµ
T,en,Ozerne,ru,Р С›Р В·Р ВµРЎР‚Р Р…Р Вµ,ua,Р С›Р В·Р ВµРЎР‚Р Р…Р Вµ
T,en,Ozerjanka,ru,Р С›Р В·Р ВµРЎР‚РЎРЏР Р…Р С”Р В°,ua,Р С›Р В·Р ВµРЎР‚РЎРЏР Р…Р С”Р В°
T,en,Oliyivka,ru,Р С›Р В»iРЎвЂ”Р Р†Р С”Р В°,ua,Р С›Р В»iРЎвЂ”Р Р†Р С”Р В°
T,en,Piski,ru,Р СџiРЎРѓР С”Р С‘,ua,Р СџiРЎРѓР С”Р С‘
T,en,Pokostivka,ru,Р СџР С•Р С”Р С•РЎРѓРЎвЂљiР Р†Р С”Р В°,ua,Р СџР С•Р С”Р С•РЎРѓРЎвЂљiР Р†Р С”Р В°
T,en,Prjazhiv,ru,Р СџРЎР‚РЎРЏР В¶iР Р†,ua,Р СџРЎР‚РЎРЏР В¶iР Р†
T,en,Rudnja-gorodische,ru,Р В РЎС“Р Т‘Р Р…РЎРЏ-Р вЂњР С•РЎР‚Р С•Р Т‘Р С‘РЎвЂ°Р Вµ,ua,Р В РЎС“Р Т‘Р Р…РЎРЏ-Р вЂњР С•РЎР‚Р С•Р Т‘Р С‘РЎвЂ°Р Вµ
T,en,Singuri,ru,Р РЋiР Р…Р С–РЎС“РЎР‚Р С‘,ua,Р РЋiР Р…Р С–РЎС“РЎР‚Р С‘
T,en,Skomorohi,ru,Р РЋР С”Р С•Р С?Р С•РЎР‚Р С•РЎвЂ¦Р С‘,ua,Р РЋР С”Р С•Р С?Р С•РЎР‚Р С•РЎвЂ¦Р С‘
T,en,Stanishivka,ru,Р РЋРЎвЂљР В°Р Р…Р С‘РЎв‚¬iР Р†Р С”Р В°,ua,Р РЋРЎвЂљР В°Р Р…Р С‘РЎв‚¬iР Р†Р С”Р В°
T,en,Teterivka,ru,Р СћР ВµРЎвЂљР ВµРЎР‚iР Р†Р С”Р В°,ua,Р СћР ВµРЎвЂљР ВµРЎР‚iР Р†Р С”Р В°
T,en,Trojaniv,ru,Р СћРЎР‚Р С•РЎРЏР Р…iР Р†,ua,Р СћРЎР‚Р С•РЎРЏР Р…iР Р†
T,en,Turovets',ru,Р СћРЎС“РЎР‚Р С•Р Р†Р ВµРЎвЂ РЎРЉ,ua,Р СћРЎС“РЎР‚Р С•Р Р†Р ВµРЎвЂ РЎРЉ
T,en,Berestovets',ru,Р вЂ?Р ВµРЎР‚Р ВµРЎРѓРЎвЂљР С•Р Р†Р ВµРЎвЂ РЎРЉ,ua,Р вЂ?Р ВµРЎР‚Р ВµРЎРѓРЎвЂљР С•Р Р†Р ВµРЎвЂ РЎРЉ
T,en,Behi,ru,Р вЂ?Р ВµРЎвЂ¦Р С‘,ua,Р вЂ?Р ВµРЎвЂ¦Р С‘
T,en,Bilka,ru,Р вЂ?iР В»Р С”Р В°,ua,Р вЂ?iР В»Р С”Р В°
T,en,Bondarivka,ru,Р вЂ?Р С•Р Р…Р Т‘Р В°РЎР‚iР Р†Р С”Р В°,ua,Р вЂ?Р С•Р Р…Р Т‘Р В°РЎР‚iР Р†Р С”Р В°
